date,open,high,low,close,volume
2023-08-14,2983.74,3044.60,2976.34,3038.59,5562208
2023-08-15,3038.59,3072.14,3020.81,3070.02,4647751
2023-08-16,3070.02,3079.08,3069.95,3077.13,1220674
2023-08-17,3077.13,3150.88,3075.27,3125.18,5600109
2023-08-18,3125.18,3153.04,3089.83,3112.00,5177993
2023-08-21,3112.00,3141.22,3042.90,3056.47,3189841
2023-08-22,3056.47,3056.79,2983.45,2998.59,1918293
2023-08-23,2998.59,3021.21,2981.26,2985.74,4060731
2023-08-24,2985.74,3011.05,2945.95,2961.85,6001377
2023-08-25,2961.85,2981.51,2917.51,2932.56,5574785
2023-08-28,2932.56,2960.37,2860.42,2876.40,1342265
2023-08-29,2876.40,2940.28,2859.12,2915.17,1428297
2023-08-30,2915.17,2939.27,2876.01,2887.85,2344251
2023-08-31,2887.85,2941.96,2879.48,2913.46,1566347
2023-09-01,2913.46,2926.78,2872.71,2878.64,7368615
2023-09-04,2878.64,2891.52,2829.70,2847.81,4297945
2023-09-05,2847.81,2873.66,2814.30,2830.16,7442480
2023-09-06,2830.16,2843.85,2808.13,2821.96,1538713
2023-09-07,2821.96,2859.32,2795.72,2833.51,7018081
2023-09-08,2833.51,2835.68,2785.83,2785.92,4172064
2023-09-11,2785.92,2859.04,2758.80,2836.84,2921840
2023-09-12,2836.84,2869.47,2808.97,2862.56,2764700
2023-09-13,2862.56,2876.08,2790.44,2814.91,5709612
2023-09-14,2814.91,2862.11,2814.62,2858.14,5412951
2023-09-15,2858.14,2909.87,2857.10,2898.12,2839441
2023-09-18,2898.12,2909.87,2884.36,2889.22,5632049
2023-09-19,2889.22,2913.59,2842.38,2854.39,3536612
2023-09-20,2854.39,2878.08,2838.37,2845.76,3314923
2023-09-21,2845.76,2877.57,2823.63,2871.74,6477205
2023-09-22,2871.74,2888.63,2800.95,2814.56,2370279
2023-09-25,2814.56,2862.54,2802.72,2860.38,7094371
2023-09-26,2860.38,2865.39,2850.25,2851.68,3051607
2023-09-27,2851.68,2890.09,2834.48,2870.21,4852102
2023-09-28,2870.21,2913.26,2847.86,2893.23,1260826
2023-09-29,2893.23,2900.97,2857.78,2858.54,7391735
2023-10-02,2858.54,2868.49,2823.81,2836.74,6168347
2023-10-03,2836.74,2836.95,2818.93,2830.32,3168382
2023-10-04,2830.32,2847.11,2807.36,2817.82,5319634
2023-10-05,2817.82,2836.70,2805.16,2825.51,1202811
2023-10-06,2825.51,2850.44,2814.49,2819.10,3995488
2023-10-09,2819.10,2827.55,2789.15,2797.10,1646364
2023-10-10,2797.10,2821.71,2778.31,2818.04,3815371
2023-10-11,2818.04,2865.66,2816.64,2851.42,7981797
2023-10-12,2851.42,2924.05,2836.15,2898.56,4728989
2023-10-13,2898.56,2919.32,2889.29,2910.31,2543134
2023-10-16,2910.31,2927.33,2851.60,2868.27,6033793
2023-10-17,2868.27,2880.05,2820.12,2838.97,1634761
2023-10-18,2838.97,2857.61,2779.30,2793.19,1050237
2023-10-19,2793.19,2805.81,2769.03,2787.39,2732314
2023-10-20,2787.39,2807.78,2785.33,2803.56,5650536
2023-10-23,2803.56,2875.33,2791.96,2849.77,2841411
2023-10-24,2849.77,2871.31,2777.83,2793.27,4019834
2023-10-25,2793.27,2797.90,2773.43,2791.91,3940899
2023-10-26,2791.91,2820.91,2789.81,2796.16,5587155
2023-10-27,2796.16,2823.13,2778.60,2813.34,5121628
2023-10-30,2813.34,2837.18,2737.86,2758.00,2296060
2023-10-31,2758.00,2774.35,2722.06,2735.29,6041834
2023-11-01,2735.29,2736.86,2676.37,2691.13,6153642
2023-11-02,2691.13,2715.90,2684.03,2699.62,6917895
2023-11-03,2699.62,2715.24,2643.49,2651.23,6790497
2023-11-06,2651.23,2657.77,2629.99,2635.17,3694600
2023-11-07,2635.17,2652.22,2614.88,2647.35,7983308
2023-11-08,2647.35,2659.06,2623.76,2636.40,5903165
2023-11-09,2636.40,2653.42,2629.83,2652.36,2586220
2023-11-10,2652.36,2708.06,2627.68,2685.19,6083122
2023-11-13,2685.19,2708.91,2662.81,2697.14,7604956
2023-11-14,2697.14,2710.05,2666.00,2685.48,4783628
2023-11-15,2685.48,2725.25,2681.43,2703.66,1617754
2023-11-16,2703.66,2704.06,2649.93,2660.32,1305353
2023-11-17,2660.32,2705.25,2639.15,2692.60,1114895
2023-11-20,2692.60,2701.19,2662.10,2667.82,4097599
2023-11-21,2667.82,2686.37,2643.67,2651.03,4792647
2023-11-22,2651.03,2701.12,2635.97,2689.19,2991440
2023-11-23,2689.19,2702.78,2640.18,2646.06,2717104
2023-11-24,2646.06,2675.10,2632.29,2650.43,4206748
2023-11-27,2650.43,2671.13,2581.17,2602.26,7201242
2023-11-28,2602.26,2603.72,2582.74,2600.30,7704663
2023-11-29,2600.30,2608.19,2540.08,2554.02,2432583
2023-11-30,2554.02,2579.50,2546.12,2579.04,2745732
2023-12-01,2579.04,2594.36,2566.76,2570.31,3986183
2023-12-04,2570.31,2582.94,2560.47,2562.09,1952291
2023-12-05,2562.09,2581.31,2550.37,2551.47,5693742
2023-12-06,2551.47,2584.98,2531.18,2584.29,4862338
2023-12-07,2584.29,2604.19,2546.03,2568.11,4015441
2023-12-08,2568.11,2589.20,2522.89,2536.04,2710315
2023-12-11,2536.04,2544.78,2517.97,2529.44,3871469
2023-12-12,2529.44,2538.98,2528.89,2531.48,6690534
2023-12-13,2531.48,2548.85,2509.33,2538.78,4560819
2023-12-14,2538.78,2559.12,2510.93,2513.82,4394861
2023-12-15,2513.82,2566.40,2494.72,2560.23,5723128
2023-12-18,2560.23,2598.88,2556.91,2585.16,5944259
2023-12-19,2585.16,2627.08,2580.22,2611.51,1128130
2023-12-20,2611.51,2636.63,2602.96,2614.42,4615046
2023-12-21,2614.42,2620.59,2569.85,2581.69,1374075
2023-12-22,2581.69,2582.04,2521.30,2537.79,7693112
2023-12-25,2537.79,2556.83,2506.04,2519.26,1534409
2023-12-26,2519.26,2543.97,2462.38,2480.77,6184369
2023-12-27,2480.77,2536.97,2479.90,2529.01,4740954
2023-12-28,2529.01,2567.34,2503.83,2542.33,6920989
2023-12-29,2542.33,2565.25,2478.59,2492.50,1342822
2024-01-01,2492.50,2510.86,2470.08,2484.07,3922274
2024-01-02,2484.07,2523.74,2476.05,2500.07,7807143
2024-01-03,2500.07,2510.08,2447.00,2455.15,4165127
2024-01-04,2455.15,2470.03,2435.25,2467.11,2371881
2024-01-05,2467.11,2490.18,2456.51,2481.02,1119476
2024-01-08,2481.02,2495.95,2470.53,2480.62,3992339
2024-01-09,2480.62,2480.83,2457.16,2458.15,1154230
2024-01-10,2458.15,2471.23,2453.78,2466.63,1610428
2024-01-11,2466.63,2494.74,2444.03,2487.10,6481676
2024-01-12,2487.10,2488.65,2462.38,2472.60,2614140
2024-01-15,2472.60,2495.74,2407.91,2424.96,2495967
2024-01-16,2424.96,2432.35,2386.24,2410.06,1960211
2024-01-17,2410.06,2459.97,2401.10,2457.94,5177346
2024-01-18,2457.94,2527.85,2449.01,2504.69,3408994
2024-01-19,2504.69,2536.54,2503.33,2515.67,1821396
2024-01-22,2515.67,2529.62,2510.65,2521.22,1019562
2024-01-23,2521.22,2541.46,2511.67,2529.56,4255788
2024-01-24,2529.56,2567.49,2513.32,2546.74,4516757
