date,open,high,low,close,volume
2023-08-14,1314.74,1340.92,1304.37,1336.15,6324460
2023-08-15,1336.15,1363.28,1327.48,1356.94,3728266
2023-08-16,1356.94,1383.68,1350.15,1379.10,6320835
2023-08-17,1379.10,1405.80,1376.98,1393.47,6245901
2023-08-18,1393.47,1395.68,1362.40,1366.50,6345472
2023-08-21,1366.50,1367.48,1351.09,1353.11,5405028
2023-08-22,1353.11,1356.56,1330.21,1330.37,5440463
2023-08-23,1330.37,1337.01,1310.85,1320.88,4059288
2023-08-24,1320.88,1332.25,1312.99,1322.35,5941703
2023-08-25,1322.35,1335.03,1317.57,1326.75,1236668
2023-08-28,1326.75,1337.71,1319.62,1326.22,7601501
2023-08-29,1326.22,1332.98,1309.25,1317.98,6271638
2023-08-30,1317.98,1325.91,1305.17,1311.21,7768373
2023-08-31,1311.21,1319.36,1284.99,1285.29,5348377
2023-09-01,1285.29,1294.44,1282.95,1289.92,6475210
2023-09-04,1289.92,1298.69,1259.27,1271.05,3422751
2023-09-05,1271.05,1276.73,1259.28,1266.82,1775795
2023-09-06,1266.82,1289.47,1262.08,1280.10,6544942
2023-09-07,1280.10,1284.74,1259.06,1266.82,7361706
2023-09-08,1266.82,1289.23,1258.30,1278.29,4355416
2023-09-11,1278.29,1302.65,1276.55,1296.33,5950955
2023-09-12,1296.33,1306.62,1283.14,1284.42,4065216
2023-09-13,1284.42,1293.89,1266.75,1270.98,7032249
2023-09-14,1270.98,1295.13,1270.12,1284.73,6170386
2023-09-15,1284.73,1294.14,1269.25,1269.87,7376272
2023-09-18,1269.87,1272.83,1237.82,1244.63,7601537
2023-09-19,1244.63,1244.95,1227.26,1239.64,6603959
2023-09-20,1239.64,1267.70,1231.95,1259.69,6498014
2023-09-21,1259.69,1283.58,1259.32,1274.67,1321339
2023-09-22,1274.67,1304.75,1263.57,1295.82,2607323
2023-09-25,1295.82,1299.05,1274.82,1275.32,1113087
2023-09-26,1275.32,1289.01,1270.52,1276.73,4926020
2023-09-27,1276.73,1291.59,1273.75,1285.29,6075550
2023-09-28,1285.29,1297.39,1252.31,1262.17,4178544
2023-09-29,1262.17,1270.58,1228.58,1237.68,3943981
2023-10-02,1237.68,1249.39,1234.16,1248.78,1968843
2023-10-03,1248.78,1253.64,1224.98,1233.99,6994679
2023-10-04,1233.99,1245.20,1225.96,1232.29,6116480
2023-10-05,1232.29,1244.32,1211.66,1220.95,1343329
2023-10-06,1220.95,1238.29,1217.49,1228.84,1320240
2023-10-09,1228.84,1238.03,1228.63,1231.31,6860083
