date,open,high,low,close,volume
2023-08-14,1693.17,1718.54,1682.49,1717.81,1815789
2023-08-15,1717.81,1723.27,1679.90,1691.13,6309469
2023-08-16,1691.13,1692.00,1660.12,1667.08,3133822
2023-08-17,1667.08,1676.98,1645.60,1658.12,3968399
2023-08-18,1658.12,1659.72,1630.12,1630.68,6159178
2023-08-21,1630.68,1640.53,1595.52,1598.83,7760516
2023-08-22,1598.83,1608.09,1561.41,1569.51,4725330
2023-08-23,1569.51,1581.83,1566.54,1581.27,6376103
2023-08-24,1581.27,1587.91,1568.24,1587.77,7812163
2023-08-25,1587.77,1593.50,1545.93,1561.33,2273199
2023-08-28,1561.33,1592.34,1547.24,1581.02,6807185
2023-08-29,1581.02,1590.03,1564.51,1578.36,6138258
2023-08-30,1578.36,1588.08,1563.42,1568.94,1749838
2023-08-31,1568.94,1579.05,1536.74,1544.02,6531598
2023-09-01,1544.02,1559.71,1538.39,1553.23,7297346
2023-09-04,1553.23,1554.98,1517.18,1528.71,1356279
2023-09-05,1528.71,1571.21,1524.69,1557.97,7376303
2023-09-06,1557.97,1569.33,1525.75,1534.87,1381523
2023-09-07,1534.87,1564.84,1534.76,1557.91,4222909
2023-09-08,1557.91,1570.02,1553.09,1563.61,2393788
2023-09-11,1563.61,1573.51,1550.49,1565.61,4462076
2023-09-12,1565.61,1576.17,1561.59,1574.93,2525634
2023-09-13,1574.93,1588.34,1547.74,1551.55,2391294
2023-09-14,1551.55,1565.27,1541.12,1563.40,5073871
2023-09-15,1563.40,1564.79,1541.69,1541.91,5536550
2023-09-18,1541.91,1565.85,1533.81,1564.56,3633432
2023-09-19,1564.56,1581.33,1557.16,1572.02,4027559
2023-09-20,1572.02,1599.05,1562.62,1591.89,4769034
2023-09-21,1591.89,1600.08,1578.57,1586.87,1317386
2023-09-22,1586.87,1610.49,1581.15,1605.91,1137583
2023-09-25,1605.91,1608.26,1575.38,1579.13,7228781
2023-09-26,1579.13,1580.22,1570.31,1579.41,4570034
2023-09-27,1579.41,1593.85,1552.36,1559.96,4076391
2023-09-28,1559.96,1575.62,1555.78,1563.74,4532019
2023-09-29,1563.74,1595.13,1549.71,1587.39,6503277
2023-10-02,1587.39,1600.38,1581.72,1586.91,5332722
2023-10-03,1586.91,1614.99,1575.93,1611.49,7528731
2023-10-04,1611.49,1637.92,1598.09,1628.36,4326143
2023-10-05,1628.36,1650.51,1622.55,1647.44,4895019
2023-10-06,1647.44,1660.63,1628.67,1644.77,7563952
2023-10-09,1644.77,1677.48,1630.20,1672.67,5810625
2023-10-10,1672.67,1703.34,1663.39,1700.50,5237099
2023-10-11,1700.50,1715.26,1684.19,1685.39,6155610
2023-10-12,1685.39,1713.94,1681.30,1701.38,6832949
2023-10-13,1701.38,1714.89,1665.85,1672.64,1623186
2023-10-16,1672.64,1679.21,1640.88,1641.47,5893057
2023-10-17,1641.47,1670.13,1626.35,1655.07,3558231
2023-10-18,1655.07,1658.36,1620.91,1626.15,3951126
2023-10-19,1626.15,1646.20,1612.02,1636.21,6971787
2023-10-20,1636.21,1641.88,1600.24,1615.55,6638652
2023-10-23,1615.55,1642.25,1609.34,1633.86,3238308
2023-10-24,1633.86,1647.34,1623.98,1624.93,4405764
2023-10-25,1624.93,1630.08,1598.32,1608.46,5085194
2023-10-26,1608.46,1612.77,1574.39,1585.95,4894715
2023-10-27,1585.95,1600.44,1574.43,1593.42,5848168
2023-10-30,1593.42,1604.72,1589.41,1599.64,4527017
2023-10-31,1599.64,1616.71,1584.98,1615.26,7279642
2023-11-01,1615.26,1619.00,1580.82,1585.33,3804639
2023-11-02,1585.33,1600.11,1580.06,1581.33,4628066
2023-11-03,1581.33,1591.62,1564.64,1578.52,6957035
2023-11-06,1578.52,1584.16,1549.38,1562.00,2744236
2023-11-07,1562.00,1562.72,1518.81,1532.69,4866986
2023-11-08,1532.69,1552.01,1517.58,1540.48,5542604
2023-11-09,1540.48,1543.77,1530.65,1543.55,5562753
2023-11-10,1543.55,1565.97,1534.67,1558.53,2283444
2023-11-13,1558.53,1564.84,1545.49,1547.34,4121126
2023-11-14,1547.34,1555.85,1515.47,1525.92,6565445
2023-11-15,1525.92,1539.41,1497.97,1509.41,7875884
2023-11-16,1509.41,1522.70,1479.56,1491.60,4599951
2023-11-17,1491.60,1518.98,1483.62,1513.50,5965808
2023-11-20,1513.50,1524.87,1511.75,1524.26,5314032
2023-11-21,1524.26,1525.90,1514.35,1524.05,1958172
2023-11-22,1524.05,1552.70,1520.16,1540.20,5506451
2023-11-23,1540.20,1543.80,1519.22,1521.37,5427278
2023-11-24,1521.37,1530.10,1518.25,1529.87,2433680
2023-11-27,1529.87,1552.95,1525.14,1547.95,4999618
2023-11-28,1547.95,1581.05,1542.32,1565.66,5410432
2023-11-29,1565.66,1600.92,1551.98,1595.10,7130080
2023-11-30,1595.10,1599.33,1559.98,1567.50,1710853
2023-12-01,1567.50,1598.27,1556.54,1583.64,2564051
2023-12-04,1583.64,1607.11,1573.05,1593.93,2886776
2023-12-05,1593.93,1603.54,1591.45,1601.33,3700998
2023-12-06,1601.33,1616.14,1594.22,1608.76,2730823
2023-12-07,1608.76,1626.52,1601.27,1610.44,5599532
2023-12-08,1610.44,1618.30,1576.65,1583.26,3756744
2023-12-11,1583.26,1597.86,1572.85,1585.98,4242400
2023-12-12,1585.98,1599.00,1554.03,1564.77,4831454
2023-12-13,1564.77,1575.70,1552.02,1567.57,5601075
2023-12-14,1567.57,1572.64,1550.80,1560.34,7110220
2023-12-15,1560.34,1568.69,1523.39,1536.26,1371564
2023-12-18,1536.26,1552.83,1523.74,1544.95,5579511
2023-12-19,1544.95,1548.86,1506.60,1514.18,4361805
2023-12-20,1514.18,1522.45,1490.63,1500.24,5277221
2023-12-21,1500.24,1507.58,1491.91,1507.02,6046166
2023-12-22,1507.02,1517.60,1476.77,1490.34,3097645
2023-12-25,1490.34,1521.34,1488.94,1507.60,7915057
2023-12-26,1507.60,1513.32,1463.82,1478.29,7749627
2023-12-27,1478.29,1483.73,1465.59,1475.77,4273956
2023-12-28,1475.77,1497.46,1462.87,1487.53,7333057
2023-12-29,1487.53,1500.53,1472.24,1473.26,5993421
2024-01-01,1473.26,1474.65,1450.91,1462.10,2491554
2024-01-02,1462.10,1465.53,1443.60,1444.13,4836431
2024-01-03,1444.13,1447.89,1432.51,1434.56,4658050
2024-01-04,1434.56,1441.45,1415.78,1416.54,3343428
2024-01-05,1416.54,1428.96,1407.91,1421.94,6686839
2024-01-08,1421.94,1424.23,1418.27,1422.19,1510233
2024-01-09,1422.19,1428.08,1406.31,1411.93,1818130
2024-01-10,1411.93,1422.28,1402.01,1414.01,1420950
2024-01-11,1414.01,1424.25,1389.00,1389.09,5546697
2024-01-12,1389.09,1398.53,1378.15,1382.35,7422937
2024-01-15,1382.35,1398.54,1381.14,1391.02,6111419
2024-01-16,1391.02,1396.60,1372.22,1376.74,3184752
2024-01-17,1376.74,1381.30,1365.25,1366.77,5447868
2024-01-18,1366.77,1383.37,1354.08,1372.25,6190799
2024-01-19,1372.25,1385.61,1363.58,1367.68,7576374
2024-01-22,1367.68,1372.40,1353.13,1357.77,4596579
2024-01-23,1357.77,1383.78,1345.69,1381.11,4244303
2024-01-24,1381.11,1393.20,1369.34,1382.23,1803774
2024-01-25,1382.23,1396.16,1381.58,1394.60,1440438
2024-01-26,1394.60,1401.97,1367.71,1379.69,2897373
2024-01-29,1379.69,1383.95,1368.97,1372.13,5389635
2024-01-30,1372.13,1379.42,1356.15,1364.62,6120250
2024-01-31,1364.62,1391.08,1357.23,1383.37,7820768
2024-02-01,1383.37,1389.42,1373.90,1389.36,6671412
2024-02-02,1389.36,1393.00,1368.23,1369.92,3025062
2024-02-05,1369.92,1372.73,1338.54,1350.67,3165049
2024-02-06,1350.67,1371.19,1342.99,1363.32,3485533
2024-02-07,1363.32,1368.76,1351.05,1365.89,6460445
2024-02-08,1365.89,1373.40,1341.49,1342.54,4735037
2024-02-09,1342.54,1353.73,1338.20,1351.25,1546096
2024-02-12,1351.25,1354.88,1335.97,1345.93,2846566
2024-02-13,1345.93,1354.22,1324.84,1332.09,5242125
2024-02-14,1332.09,1345.65,1327.14,1339.87,7062036
2024-02-15,1339.87,1360.90,1329.45,1350.68,2739552
2024-02-16,1350.68,1355.66,1324.85,1330.43,2575961
2024-02-19,1330.43,1340.63,1299.05,1310.65,3174521
2024-02-20,1310.65,1314.93,1297.97,1308.45,1835973
2024-02-21,1308.45,1318.53,1282.41,1290.72,6792696
2024-02-22,1290.72,1307.22,1283.07,1302.53,6951236
2024-02-23,1302.53,1323.92,1290.07,1312.58,3399341
2024-02-26,1312.58,1320.77,1302.91,1316.03,4246703
2024-02-27,1316.03,1316.71,1288.52,1300.14,5419900
2024-02-28,1300.14,1333.31,1293.09,1320.64,7429345
2024-02-29,1320.64,1332.12,1309.48,1319.93,2222250
2024-03-01,1319.93,1335.67,1310.94,1329.31,2337160
2024-03-04,1329.31,1341.94,1327.30,1341.72,4913159
2024-03-05,1341.72,1353.92,1310.67,1319.44,4136724
2024-03-06,1319.44,1335.67,1307.25,1328.57,5235542
2024-03-07,1328.57,1329.31,1302.64,1309.81,7836022
2024-03-08,1309.81,1332.99,1297.99,1329.18,3987036
2024-03-11,1329.18,1339.76,1326.03,1332.89,3060501
2024-03-12,1332.89,1355.35,1321.31,1344.11,4750544
2024-03-13,1344.11,1360.74,1338.54,1349.80,3067636
2024-03-14,1349.80,1384.30,1341.55,1373.72,5234657
2024-03-15,1373.72,1381.65,1357.30,1357.41,2281195
2024-03-18,1357.41,1367.37,1356.66,1359.60,5049687
2024-03-19,1359.60,1363.73,1334.97,1344.80,3875758
