date,open,high,low,close,volume
2023-08-14,1277.83,1285.19,1266.36,1278.91,3442572
2023-08-15,1278.91,1292.47,1268.66,1292.36,3074119
2023-08-16,1292.36,1317.37,1287.29,1314.31,4391113
2023-08-17,1314.31,1340.15,1312.66,1339.49,7558668
2023-08-18,1339.49,1345.10,1331.40,1339.12,1955776
2023-08-21,1339.12,1359.58,1338.45,1350.37,2795408
2023-08-22,1350.37,1359.74,1341.11,1349.07,4726250
2023-08-23,1349.07,1383.30,1342.81,1373.12,7066463
2023-08-24,1373.12,1383.25,1368.44,1380.12,2080186
2023-08-25,1380.12,1395.64,1377.65,1383.95,6889723
2023-08-28,1383.95,1395.95,1381.40,1382.16,4521576
2023-08-29,1382.16,1393.67,1368.00,1368.37,7272920
2023-08-30,1368.37,1389.55,1366.95,1385.97,7932480
2023-08-31,1385.97,1394.34,1371.56,1382.49,5434343
2023-09-01,1382.49,1388.63,1369.79,1385.28,5270420
2023-09-04,1385.28,1395.27,1377.69,1394.35,7255710
2023-09-05,1394.35,1409.18,1390.28,1403.14,1077609
2023-09-06,1403.14,1412.30,1394.40,1406.89,6135800
2023-09-07,1406.89,1429.40,1405.55,1418.22,7446859
2023-09-08,1418.22,1449.49,1410.51,1437.12,3581045
2023-09-11,1437.12,1449.61,1409.05,1419.70,2440267
2023-09-12,1419.70,1423.39,1408.67,1415.93,2720587
2023-09-13,1415.93,1416.96,1407.59,1408.30,3570945
2023-09-14,1408.30,1419.91,1408.04,1415.20,4104010
2023-09-15,1415.20,1435.00,1414.56,1429.71,6304117
2023-09-18,1429.71,1435.65,1423.50,1430.81,3457705
2023-09-19,1430.81,1457.12,1421.23,1452.50,2839553
2023-09-20,1452.50,1488.45,1441.89,1474.85,5480423
2023-09-21,1474.85,1506.03,1473.60,1502.37,4017955
2023-09-22,1502.37,1520.70,1500.55,1506.83,7739281
2023-09-25,1506.83,1516.34,1487.18,1494.87,2496982
2023-09-26,1494.87,1502.06,1472.05,1481.22,4636600
2023-09-27,1481.22,1495.07,1444.25,1456.02,7673428
2023-09-28,1456.02,1469.57,1428.18,1435.68,7191387
2023-09-29,1435.68,1437.13,1407.44,1407.70,4843863
2023-10-02,1407.70,1431.30,1404.38,1429.23,6960070
2023-10-03,1429.23,1441.45,1406.71,1408.89,4096398
2023-10-04,1408.89,1417.64,1382.44,1387.38,5405445
2023-10-05,1387.38,1408.24,1375.87,1394.45,1960280
2023-10-06,1394.45,1431.47,1391.58,1417.44,7569287
2023-10-09,1417.44,1459.54,1405.00,1445.14,1284070
2023-10-10,1445.14,1451.16,1422.29,1425.45,1107065
2023-10-11,1425.45,1438.39,1407.67,1407.98,3322870
2023-10-12,1407.98,1417.53,1388.41,1393.67,1727016
2023-10-13,1393.67,1421.65,1391.62,1419.44,4428119
2023-10-16,1419.44,1453.18,1407.69,1444.30,2489711
2023-10-17,1444.30,1456.09,1427.32,1440.10,1367696
2023-10-18,1440.10,1453.69,1439.64,1452.77,5805653
2023-10-19,1452.77,1467.16,1422.34,1429.06,5299900
2023-10-20,1429.06,1431.92,1421.03,1426.54,1417726
2023-10-23,1426.54,1430.65,1409.75,1420.15,1074231
2023-10-24,1420.15,1430.18,1414.63,1418.56,4451189
2023-10-25,1418.56,1433.67,1417.03,1431.27,6759745
2023-10-26,1431.27,1442.31,1418.68,1437.16,1846118
2023-10-27,1437.16,1464.67,1425.70,1457.86,5509655
2023-10-30,1457.86,1488.18,1448.25,1480.80,4099508
2023-10-31,1480.80,1498.40,1477.19,1489.57,7866688
2023-11-01,1489.57,1497.74,1489.54,1494.17,1719317
2023-11-02,1494.17,1515.31,1481.76,1500.66,1415979
2023-11-03,1500.66,1514.92,1498.87,1502.12,4030791
2023-11-06,1502.12,1536.88,1501.31,1530.10,4324469
2023-11-07,1530.10,1532.34,1519.13,1527.78,4732840
2023-11-08,1527.78,1540.81,1513.41,1521.17,4707641
2023-11-09,1521.17,1535.83,1497.72,1500.78,6040176
2023-11-10,1500.78,1532.26,1498.21,1520.39,3789728
2023-11-13,1520.39,1551.67,1505.20,1538.13,2358244
2023-11-14,1538.13,1551.65,1504.30,1509.81,6681801
2023-11-15,1509.81,1540.45,1496.20,1529.93,6359906
2023-11-16,1529.93,1533.40,1521.08,1531.25,1330352
2023-11-17,1531.25,1565.48,1519.87,1559.74,3932520
2023-11-20,1559.74,1569.28,1524.27,1537.47,3366224
2023-11-21,1537.47,1564.79,1522.67,1557.27,5762340
2023-11-22,1557.27,1567.22,1555.13,1566.05,5996646
2023-11-23,1566.05,1576.09,1535.03,1547.36,3935211
2023-11-24,1547.36,1568.48,1544.41,1565.22,2769213
2023-11-27,1565.22,1566.92,1529.60,1543.97,2638896
