date,open,high,low,close,volume
2023-08-14,439.80,447.09,438.90,445.52,3894585
2023-08-15,445.52,448.89,444.66,447.64,2451288
2023-08-16,447.64,451.46,440.87,441.00,4255122
2023-08-17,441.00,443.64,434.79,436.01,6915680
2023-08-18,436.01,440.70,431.85,440.32,5133646
2023-08-21,440.32,444.55,429.94,432.20,6924499
2023-08-22,432.20,441.20,428.49,439.09,7862848
2023-08-23,439.09,441.66,434.21,436.42,1586300
2023-08-24,436.42,437.09,430.23,431.04,5224530
2023-08-25,431.04,436.82,429.42,434.96,6577685
2023-08-28,434.96,439.16,432.73,433.84,2994244
2023-08-29,433.84,434.63,431.89,432.95,2426070
2023-08-30,432.95,436.27,431.39,435.31,7667184
2023-08-31,435.31,444.52,434.77,440.67,5976934
2023-09-01,440.67,442.70,440.04,440.93,2860121
2023-09-04,440.93,450.13,436.73,449.60,3478543
2023-09-05,449.60,449.72,446.63,449.27,4954579
2023-09-06,449.27,453.07,445.03,448.21,7707887
2023-09-07,448.21,456.70,447.17,454.94,5906939
2023-09-08,454.94,459.95,453.20,457.90,1353669
2023-09-11,457.90,469.32,454.99,465.45,6186440
2023-09-12,465.45,469.72,461.87,462.99,2517224
2023-09-13,462.99,466.74,460.99,466.68,4155696
2023-09-14,466.68,469.74,459.15,462.87,6033989
2023-09-15,462.87,465.12,456.12,457.75,6516183
2023-09-18,457.75,460.73,455.45,459.12,2077481
2023-09-19,459.12,460.98,447.60,451.01,5694256
2023-09-20,451.01,452.73,443.51,446.80,2123486
2023-09-21,446.80,451.46,446.09,447.70,4024835
2023-09-22,447.70,460.15,446.07,456.09,4049898
2023-09-25,456.09,458.37,451.78,457.83,7204321
2023-09-26,457.83,460.68,453.38,454.02,5181169
2023-09-27,454.02,461.65,451.57,458.08,2645569
2023-09-28,458.08,462.35,454.11,457.37,1279043
2023-09-29,457.37,460.78,447.22,449.60,7371348
2023-10-02,449.60,451.42,438.97,442.35,6601725
2023-10-03,442.35,444.81,430.03,434.01,3469182
2023-10-04,434.01,437.59,426.84,429.00,1573355
2023-10-05,429.00,437.58,426.21,436.74,7519973
2023-10-06,436.74,444.86,436.18,443.95,4417479
2023-10-09,443.95,447.71,441.70,441.91,1094240
2023-10-10,441.91,448.61,439.41,447.22,3627471
2023-10-11,447.22,449.33,445.05,448.71,6961741
2023-10-12,448.71,457.82,447.13,453.64,3053580
2023-10-13,453.64,460.50,453.22,458.49,3744159
2023-10-16,458.49,462.23,450.49,452.61,1762541
2023-10-17,452.61,454.70,442.22,445.89,3663585
2023-10-18,445.89,449.82,436.42,437.10,6667122
2023-10-19,437.10,442.20,436.56,440.17,6967362
2023-10-20,440.17,441.66,430.23,434.14,3189949
2023-10-23,434.14,436.55,429.64,431.59,7931435
2023-10-24,431.59,441.93,431.26,437.64,4659657
2023-10-25,437.64,441.00,433.14,433.46,6360415
2023-10-26,433.46,444.81,432.83,441.10,3517941
2023-10-27,441.10,447.83,438.76,446.29,4823683
2023-10-30,446.29,450.78,442.46,446.48,4032349
2023-10-31,446.48,449.96,439.21,442.24,4269559
2023-11-01,442.24,453.50,439.22,449.39,7957970
2023-11-02,449.39,462.42,445.74,458.28,7175923
2023-11-03,458.28,460.50,453.88,457.17,4876566
2023-11-06,457.17,459.81,454.49,457.06,1129386
2023-11-07,457.06,460.18,444.22,448.31,2338908
2023-11-08,448.31,456.46,447.60,454.65,3611139
2023-11-09,454.65,462.51,451.43,462.40,2967995
2023-11-10,462.40,472.08,458.64,469.84,2139617
2023-11-13,469.84,471.13,457.87,462.50,1954954
2023-11-14,462.50,463.29,453.22,456.33,5702410
2023-11-15,456.33,460.14,445.32,449.81,6064432
2023-11-16,449.81,451.71,440.35,442.33,4866246
2023-11-17,442.33,445.80,436.34,439.04,2737104
2023-11-20,439.04,448.11,435.96,444.23,6357528
2023-11-21,444.23,449.43,444.15,447.37,3479032
2023-11-22,447.37,452.31,443.07,448.40,2160945
2023-11-23,448.40,449.72,441.39,441.83,4459185
2023-11-24,441.83,441.98,434.72,438.69,7845791
2023-11-27,438.69,447.69,437.42,443.95,6006165
2023-11-28,443.95,450.84,440.30,446.51,2574017
2023-11-29,446.51,448.86,441.22,442.53,3487336
2023-11-30,442.53,453.06,438.36,449.01,5392763
2023-12-01,449.01,452.55,444.84,452.51,7912190
2023-12-04,452.51,454.36,446.60,448.55,5551817
2023-12-05,448.55,449.75,445.58,449.39,5393318
2023-12-06,449.39,457.55,448.22,455.37,2024499
2023-12-07,455.37,455.99,451.26,452.05,2873627
2023-12-08,452.05,454.24,448.00,451.17,4657228
2023-12-11,451.17,461.44,447.68,458.91,4535727
2023-12-12,458.91,458.92,451.89,454.40,7396251
2023-12-13,454.40,461.74,453.19,459.99,3351685
2023-12-14,459.99,462.47,459.04,460.78,7034656
2023-12-15,460.78,469.49,459.74,469.36,3683898
2023-12-18,469.36,471.32,464.17,465.01,4036029
2023-12-19,465.01,466.03,455.18,457.37,2088188
2023-12-20,457.37,461.45,445.18,449.66,7613852
