date,open,high,low,close,volume
2023-08-14,2467.26,2489.42,2461.80,2466.77,7355620
2023-08-15,2466.77,2466.87,2436.24,2443.66,4134098
2023-08-16,2443.66,2461.95,2398.60,2409.41,6033300
2023-08-17,2409.41,2457.51,2403.79,2439.10,5889709
2023-08-18,2439.10,2458.83,2401.54,2425.67,1285957
2023-08-21,2425.67,2440.67,2414.04,2420.02,6470994
2023-08-22,2420.02,2450.02,2405.45,2435.32,3815633
2023-08-23,2435.32,2493.09,2423.82,2475.72,7680988
2023-08-24,2475.72,2475.81,2430.67,2445.44,2303674
2023-08-25,2445.44,2458.88,2412.77,2431.57,1894475
2023-08-28,2431.57,2499.08,2426.54,2476.06,4068259
2023-08-29,2476.06,2484.08,2437.26,2449.15,5211543
2023-08-30,2449.15,2511.54,2430.49,2497.45,6702782
2023-08-31,2497.45,2501.21,2465.62,2475.89,4837199
2023-09-01,2475.89,2533.23,2463.91,2514.18,1089655
2023-09-04,2514.18,2578.10,2492.88,2563.98,1261536
2023-09-05,2563.98,2581.49,2525.88,2546.68,3752047
2023-09-06,2546.68,2596.78,2531.97,2575.36,3195949
2023-09-07,2575.36,2591.97,2552.57,2587.23,2088176
2023-09-08,2587.23,2587.43,2530.45,2553.30,6477940
2023-09-11,2553.30,2592.82,2553.04,2574.21,2322929
2023-09-12,2574.21,2592.93,2525.77,2535.20,1723670
2023-09-13,2535.20,2579.63,2512.72,2570.33,7272573
2023-09-14,2570.33,2575.32,2526.30,2541.04,4098958
2023-09-15,2541.04,2547.59,2518.50,2529.45,4202153
2023-09-18,2529.45,2553.38,2495.83,2509.01,7892338
2023-09-19,2509.01,2531.23,2478.81,2503.49,1428370
2023-09-20,2503.49,2504.75,2466.98,2471.61,2739322
2023-09-21,2471.61,2516.61,2450.08,2494.10,6118519
2023-09-22,2494.10,2567.16,2471.20,2542.88,1944346
2023-09-25,2542.88,2603.35,2524.74,2590.14,2217085
2023-09-26,2590.14,2609.74,2550.13,2554.18,5253068
2023-09-27,2554.18,2614.21,2549.76,2595.17,6572580
2023-09-28,2595.17,2599.29,2564.43,2588.01,6813928
2023-09-29,2588.01,2593.37,2539.58,2558.12,7949306
2023-10-02,2558.12,2633.97,2533.87,2607.97,1330539
2023-10-03,2607.97,2622.31,2591.03,2611.87,1806063
2023-10-04,2611.87,2673.17,2603.10,2653.61,2060227
2023-10-05,2653.61,2666.49,2606.45,2630.72,4288472
2023-10-06,2630.72,2698.24,2621.94,2675.37,1038712
2023-10-09,2675.37,2713.78,2651.75,2711.51,3302499
2023-10-10,2711.51,2754.05,2695.78,2733.13,2273111
2023-10-11,2733.13,2754.51,2696.66,2717.63,5741254
2023-10-12,2717.63,2742.36,2673.66,2687.39,5079886
2023-10-13,2687.39,2723.24,2666.93,2698.15,4460428
2023-10-16,2698.15,2711.22,2661.83,2686.15,3311616
2023-10-17,2686.15,2721.36,2662.21,2697.55,4198581
2023-10-18,2697.55,2729.53,2688.75,2727.75,4955249
2023-10-19,2727.75,2792.11,2700.87,2779.96,6854985
2023-10-20,2779.96,2831.61,2759.03,2828.63,6196590
2023-10-23,2828.63,2831.56,2812.36,2814.39,3246704
2023-10-24,2814.39,2839.13,2742.88,2760.90,4483872
2023-10-25,2760.90,2772.50,2759.55,2767.83,3027051
2023-10-26,2767.83,2779.78,2731.66,2750.14,7913117
2023-10-27,2750.14,2767.16,2694.73,2712.93,5097441
2023-10-30,2712.93,2757.75,2689.22,2742.02,7337314
2023-10-31,2742.02,2762.21,2690.52,2702.55,3917087
2023-11-01,2702.55,2724.37,2695.53,2697.10,4870923
2023-11-02,2697.10,2707.88,2691.72,2697.96,6023125
2023-11-03,2697.96,2707.94,2652.23,2652.95,2443838
2023-11-06,2652.95,2670.43,2628.21,2642.81,3013648
2023-11-07,2642.81,2679.58,2638.92,2657.94,7554359
2023-11-08,2657.94,2663.73,2631.99,2642.06,4854387
2023-11-09,2642.06,2658.56,2589.48,2591.67,7316434
2023-11-10,2591.67,2645.71,2572.42,2640.91,4430572
2023-11-13,2640.91,2684.87,2626.00,2682.92,7803897
