date,open,high,low,close,volume
2023-08-14,1604.45,1646.41,1588.80,1635.50,7254214
2023-08-15,1635.50,1645.86,1618.53,1626.49,7828403
2023-08-16,1626.49,1656.33,1625.11,1642.57,7107890
2023-08-17,1642.57,1656.84,1642.52,1653.59,6545629
2023-08-18,1653.59,1683.48,1649.56,1669.25,4779801
2023-08-21,1669.25,1696.43,1662.58,1686.73,4258083
2023-08-22,1686.73,1701.46,1661.77,1666.50,6812539
2023-08-23,1666.50,1700.24,1662.02,1697.70,1468315
2023-08-24,1697.70,1727.15,1686.39,1722.24,3073529
2023-08-25,1722.24,1731.43,1715.21,1715.28,1394775
2023-08-28,1715.28,1717.78,1702.98,1706.82,4481654
2023-08-29,1706.82,1719.72,1694.64,1704.28,3995164
2023-08-30,1704.28,1746.16,1691.52,1731.58,5131327
2023-08-31,1731.58,1746.28,1696.61,1697.29,2184842
2023-09-01,1697.29,1711.95,1689.82,1693.90,5858010
2023-09-04,1693.90,1703.09,1682.08,1701.52,4952733
2023-09-05,1701.52,1703.49,1663.56,1669.81,1169527
2023-09-06,1669.81,1704.32,1657.83,1702.21,5330594
2023-09-07,1702.21,1711.04,1687.11,1687.18,7624454
2023-09-08,1687.18,1713.83,1681.59,1702.96,4358030
2023-09-11,1702.96,1727.47,1700.97,1723.71,4186938
2023-09-12,1723.71,1759.72,1721.66,1749.41,4301269
2023-09-13,1749.41,1762.53,1722.74,1734.13,1079834
2023-09-14,1734.13,1739.48,1690.64,1700.33,6331784
2023-09-15,1700.33,1730.72,1697.54,1725.64,3267413
2023-09-18,1725.64,1726.11,1720.88,1724.58,7221122
2023-09-19,1724.58,1740.22,1713.21,1735.37,4917184
2023-09-20,1735.37,1756.11,1725.31,1742.35,7900870
2023-09-21,1742.35,1743.73,1710.34,1712.77,5844284
2023-09-22,1712.77,1743.75,1705.18,1733.67,1521056
2023-09-25,1733.67,1744.30,1719.00,1732.27,4237588
2023-09-26,1732.27,1744.71,1704.81,1714.83,3554848
2023-09-27,1714.83,1725.78,1700.22,1715.51,3743822
2023-09-28,1715.51,1719.41,1700.07,1701.40,6975216
2023-09-29,1701.40,1715.70,1693.11,1693.31,4333640
2023-10-02,1693.31,1708.09,1688.52,1701.83,7368571
2023-10-03,1701.83,1718.73,1660.97,1668.28,4622162
2023-10-04,1668.28,1705.21,1666.82,1696.26,1895997
2023-10-05,1696.26,1701.15,1668.27,1678.74,2466288
2023-10-06,1678.74,1694.42,1651.59,1660.54,4293541
2023-10-09,1660.54,1666.71,1626.58,1640.50,7182358
2023-10-10,1640.50,1669.42,1630.46,1656.56,1495126
2023-10-11,1656.56,1694.90,1652.14,1680.21,5363311
2023-10-12,1680.21,1682.22,1654.37,1662.02,3880681
2023-10-13,1662.02,1687.14,1650.07,1687.07,3380772
2023-10-16,1687.07,1689.94,1675.45,1689.35,1872972
2023-10-17,1689.35,1710.59,1675.03,1694.15,2665351
2023-10-18,1694.15,1710.71,1682.52,1683.20,5498937
2023-10-19,1683.20,1713.59,1681.51,1699.44,6498695
2023-10-20,1699.44,1733.73,1696.87,1720.67,3033640
2023-10-23,1720.67,1740.75,1703.69,1735.69,4172371
2023-10-24,1735.69,1750.87,1701.94,1707.08,1658723
2023-10-25,1707.08,1740.41,1702.29,1731.22,2971650
2023-10-26,1731.22,1745.15,1727.25,1744.53,5091903
2023-10-27,1744.53,1780.51,1741.62,1763.36,2459328
2023-10-30,1763.36,1786.67,1747.48,1783.50,3120073
2023-10-31,1783.50,1789.83,1754.49,1754.55,4837278
2023-11-01,1754.55,1787.68,1748.49,1775.74,2418763
2023-11-02,1775.74,1781.20,1762.74,1768.10,7398148
2023-11-03,1768.10,1784.71,1733.50,1745.96,7460947
2023-11-06,1745.96,1768.69,1734.70,1755.79,5043880
2023-11-07,1755.79,1794.24,1748.52,1787.12,1556062
2023-11-08,1787.12,1798.59,1748.90,1765.28,3045433
2023-11-09,1765.28,1772.62,1739.15,1751.61,3216574
2023-11-10,1751.61,1783.55,1737.28,1781.50,3104074
2023-11-13,1781.50,1789.59,1740.90,1755.78,5690792
2023-11-14,1755.78,1758.03,1736.18,1743.02,3106308
2023-11-15,1743.02,1772.88,1727.18,1759.45,7299861
2023-11-16,1759.45,1774.88,1745.33,1753.56,7650477
2023-11-17,1753.56,1758.56,1708.99,1723.93,6751792
2023-11-20,1723.93,1753.85,1711.97,1750.96,6908699
2023-11-21,1750.96,1759.05,1731.50,1743.71,4714458
2023-11-22,1743.71,1761.83,1743.26,1758.20,2376895
2023-11-23,1758.20,1760.32,1739.88,1741.34,6662648
2023-11-24,1741.34,1774.98,1724.99,1767.67,1098020
2023-11-27,1767.67,1783.96,1732.63,1747.47,2304955
2023-11-28,1747.47,1754.23,1715.75,1726.40,4026179
2023-11-29,1726.40,1758.70,1720.74,1742.01,7428194
2023-11-30,1742.01,1743.44,1709.94,1718.43,4988361
2023-12-01,1718.43,1726.09,1700.71,1701.11,6805791
2023-12-04,1701.11,1710.59,1677.91,1687.71,3348874
2023-12-05,1687.71,1690.73,1659.45,1675.03,5791263
2023-12-06,1675.03,1679.26,1662.18,1669.67,7971145
2023-12-07,1669.67,1681.17,1658.67,1671.92,2484112
2023-12-08,1671.92,1679.36,1650.34,1650.92,4830589
2023-12-11,1650.92,1656.95,1607.31,1618.99,2570461
2023-12-12,1618.99,1635.02,1613.03,1628.10,4363273
2023-12-13,1628.10,1654.87,1613.43,1648.10,4043221
2023-12-14,1648.10,1657.78,1623.79,1634.85,1037766
2023-12-15,1634.85,1663.15,1622.08,1649.53,5517508
2023-12-18,1649.53,1653.92,1621.54,1623.03,2989247
2023-12-19,1623.03,1628.52,1585.75,1594.78,1597743
2023-12-20,1594.78,1606.58,1590.25,1602.09,4169778
2023-12-21,1602.09,1633.18,1596.93,1617.57,7417935
2023-12-22,1617.57,1622.49,1610.07,1616.51,3517674
2023-12-25,1616.51,1627.43,1597.46,1604.88,7179204
2023-12-26,1604.88,1612.54,1599.88,1600.37,5581800
2023-12-27,1600.37,1617.36,1587.07,1614.50,5077264
2023-12-28,1614.50,1624.58,1604.74,1620.31,5243529
2023-12-29,1620.31,1633.55,1586.44,1600.87,7428104
2024-01-01,1600.87,1619.88,1590.37,1614.63,7600274
2024-01-02,1614.63,1614.71,1572.00,1584.68,6857483
2024-01-03,1584.68,1606.52,1572.77,1601.84,5419583
2024-01-04,1601.84,1626.68,1588.04,1615.95,3991862
2024-01-05,1615.95,1639.41,1607.93,1624.80,6912851
2024-01-08,1624.80,1626.56,1598.38,1608.35,7574907
2024-01-09,1608.35,1641.37,1608.03,1637.98,1531644
2024-01-10,1637.98,1666.99,1634.52,1655.77,6563178
2024-01-11,1655.77,1669.01,1644.53,1645.70,7725620
2024-01-12,1645.70,1646.02,1612.11,1628.24,4911382
2024-01-15,1628.24,1640.90,1600.93,1607.05,5375995
2024-01-16,1607.05,1622.72,1604.60,1612.03,6240200
2024-01-17,1612.03,1622.62,1594.86,1609.04,2682874
2024-01-18,1609.04,1648.98,1596.20,1634.85,1903164
2024-01-19,1634.85,1637.44,1616.61,1627.52,2987446
2024-01-22,1627.52,1636.27,1598.20,1605.47,4327848
2024-01-23,1605.47,1624.90,1598.82,1612.32,5727754
2024-01-24,1612.32,1630.66,1596.34,1624.25,1600164
2024-01-25,1624.25,1651.93,1613.71,1638.66,5045683
2024-01-26,1638.66,1643.83,1623.84,1634.20,4079874
2024-01-29,1634.20,1647.69,1619.10,1629.39,4625230
2024-01-30,1629.39,1649.07,1614.05,1633.19,3960737
2024-01-31,1633.19,1640.14,1624.71,1639.67,3488615
2024-02-01,1639.67,1650.19,1634.38,1636.13,5914353
2024-02-02,1636.13,1640.95,1613.49,1615.24,2025524
2024-02-05,1615.24,1628.68,1599.21,1601.38,1519813
2024-02-06,1601.38,1615.71,1568.71,1571.85,6258756
2024-02-07,1571.85,1584.51,1560.13,1565.18,5328245
2024-02-08,1565.18,1578.01,1551.34,1568.05,1755029
2024-02-09,1568.05,1588.29,1564.90,1586.06,7414561
2024-02-12,1586.06,1602.55,1577.71,1599.02,4254809
2024-02-13,1599.02,1623.08,1597.46,1623.02,6248607
2024-02-14,1623.02,1655.53,1616.14,1654.57,3007092
2024-02-15,1654.57,1693.30,1653.09,1682.40,5453194
2024-02-16,1682.40,1715.22,1675.49,1698.29,1129710
2024-02-19,1698.29,1701.12,1680.56,1686.49,3213337
2024-02-20,1686.49,1705.97,1671.69,1705.59,2440345
2024-02-21,1705.59,1735.19,1700.63,1723.87,7210794
2024-02-22,1723.87,1736.06,1702.78,1714.73,3989946
2024-02-23,1714.73,1727.96,1685.94,1700.22,1026565
2024-02-26,1700.22,1722.41,1684.14,1719.36,3748605
2024-02-27,1719.36,1742.71,1708.62,1742.66,7052026
2024-02-28,1742.66,1753.41,1718.26,1729.27,1208695
2024-02-29,1729.27,1746.60,1720.46,1737.23,4188604
2024-03-01,1737.23,1740.62,1708.95,1710.49,5011300
2024-03-04,1710.49,1754.56,1701.48,1738.04,3144694
2024-03-05,1738.04,1781.33,1722.63,1772.17,5088825
2024-03-06,1772.17,1774.26,1760.43,1768.33,3105716
2024-03-07,1768.33,1786.01,1733.07,1746.12,1095297
2024-03-08,1746.12,1773.43,1739.13,1765.05,2452884
2024-03-11,1765.05,1788.15,1751.93,1783.09,6503477
2024-03-12,1783.09,1789.26,1762.14,1769.94,7766726
2024-03-13,1769.94,1774.52,1755.73,1763.05,6350328
2024-03-14,1763.05,1778.54,1713.60,1730.07,5856807
2024-03-15,1730.07,1736.40,1714.92,1735.72,3754962
2024-03-18,1735.72,1771.76,1733.58,1764.53,5746170
2024-03-19,1764.53,1782.78,1753.40,1766.04,7126135
2024-03-20,1766.04,1796.96,1752.84,1793.94,6019207
2024-03-21,1793.94,1832.56,1781.02,1814.64,1349137
2024-03-22,1814.64,1859.36,1810.94,1849.88,7438344
2024-03-25,1849.88,1890.65,1839.60,1873.87,5998361
2024-03-26,1873.87,1881.95,1849.39,1863.73,1779995
2024-03-27,1863.73,1876.12,1835.39,1853.12,5458826
2024-03-28,1853.12,1867.11,1812.34,1823.22,1295826
