date,open,high,low,close,volume
2023-08-14,2341.60,2352.86,2285.97,2295.39,6230482
2023-08-15,2295.39,2318.03,2272.64,2314.51,1325093
2023-08-16,2314.51,2370.10,2305.33,2360.43,6044779
2023-08-17,2360.43,2394.51,2343.46,2383.00,7986212
2023-08-18,2383.00,2405.95,2362.17,2364.77,6311124
2023-08-21,2364.77,2368.30,2333.10,2345.31,5030531
2023-08-22,2345.31,2347.84,2278.10,2300.69,5068432
2023-08-23,2300.69,2319.39,2289.71,2306.56,3758002
2023-08-24,2306.56,2321.06,2270.22,2282.30,1029196
2023-08-25,2282.30,2287.36,2242.72,2262.88,7252506
2023-08-28,2262.88,2276.50,2247.22,2269.69,7033360
2023-08-29,2269.69,2271.50,2219.34,2229.65,3990448
2023-08-30,2229.65,2255.21,2210.85,2250.65,6061429
2023-08-31,2250.65,2275.35,2246.19,2254.06,3304923
2023-09-01,2254.06,2258.37,2239.24,2254.99,7119496
2023-09-04,2254.99,2271.24,2239.68,2242.95,2055337
2023-09-05,2242.95,2256.54,2229.51,2231.57,1399615
2023-09-06,2231.57,2274.06,2216.96,2273.28,3988514
2023-09-07,2273.28,2276.30,2236.87,2240.72,2103330
2023-09-08,2240.72,2245.85,2226.64,2237.79,1934355
2023-09-11,2237.79,2277.59,2232.90,2264.70,3161216
2023-09-12,2264.70,2276.10,2229.76,2246.23,2679974
2023-09-13,2246.23,2272.08,2239.87,2252.85,3781534
2023-09-14,2252.85,2304.09,2243.39,2282.45,2104357
2023-09-15,2282.45,2295.87,2229.56,2249.45,7390996
2023-09-18,2249.45,2255.40,2216.70,2222.33,5617458
2023-09-19,2222.33,2241.99,2184.31,2192.18,7271015
2023-09-20,2192.18,2208.96,2181.96,2192.54,4555687
2023-09-21,2192.54,2206.87,2142.39,2153.08,5497015
2023-09-22,2153.08,2160.59,2128.37,2146.78,7349669
2023-09-25,2146.78,2159.33,2090.71,2108.64,6672905
2023-09-26,2108.64,2155.02,2094.57,2141.58,3298997
2023-09-27,2141.58,2154.54,2110.52,2121.24,1809326
2023-09-28,2121.24,2152.26,2117.36,2138.46,7874651
2023-09-29,2138.46,2173.20,2120.89,2170.41,7756083
2023-10-02,2170.41,2185.84,2132.12,2152.58,7154512
2023-10-03,2152.58,2172.51,2138.54,2161.82,5976205
2023-10-04,2161.82,2169.70,2138.28,2138.40,6174353
2023-10-05,2138.40,2143.26,2114.57,2120.31,2813469
2023-10-06,2120.31,2135.29,2110.81,2115.94,7078423
2023-10-09,2115.94,2118.33,2092.68,2109.10,6413554
2023-10-10,2109.10,2126.75,2076.27,2095.60,5052625
2023-10-11,2095.60,2138.82,2093.44,2131.65,5459149
2023-10-12,2131.65,2138.46,2113.26,2124.08,2890405
