date,open,high,low,close,volume
2023-08-14,1023.18,1031.57,1008.74,1016.63,1105815
2023-08-15,1016.63,1038.39,1009.89,1033.21,4707011
2023-08-16,1033.21,1058.92,1028.53,1050.56,3164596
2023-08-17,1050.56,1052.84,1029.60,1032.72,5020957
2023-08-18,1032.72,1035.85,1015.65,1020.28,5738841
2023-08-21,1020.28,1039.40,1016.30,1030.15,1156281
2023-08-22,1030.15,1049.34,1021.30,1044.91,2991494
2023-08-23,1044.91,1049.54,1035.95,1045.83,4492141
2023-08-24,1045.83,1055.89,1030.79,1037.61,4968545
2023-08-25,1037.61,1040.33,1019.52,1021.20,6686591
2023-08-28,1021.20,1037.64,1014.96,1030.48,1043251
2023-08-29,1030.48,1031.71,1008.19,1016.74,2065636
2023-08-30,1016.74,1041.54,1012.53,1032.36,4104247
2023-08-31,1032.36,1055.35,1031.94,1045.99,3966376
2023-09-01,1045.99,1062.39,1035.85,1058.62,5939563
2023-09-04,1058.62,1069.92,1053.64,1066.52,4756601
2023-09-05,1066.52,1075.28,1042.09,1046.48,2274678
2023-09-06,1046.48,1054.45,1030.17,1036.09,6547435
2023-09-07,1036.09,1057.65,1026.47,1051.15,4750983
2023-09-08,1051.15,1075.33,1049.85,1065.01,2024750
2023-09-11,1065.01,1086.98,1055.93,1080.77,4624650
2023-09-12,1080.77,1109.40,1073.23,1100.24,4303225
2023-09-13,1100.24,1100.55,1078.32,1081.56,7200417
2023-09-14,1081.56,1102.05,1074.52,1096.49,6630435
2023-09-15,1096.49,1102.63,1092.59,1100.27,1156193
2023-09-18,1100.27,1109.58,1094.03,1097.80,1378023
2023-09-19,1097.80,1116.84,1092.52,1114.24,6169690
2023-09-20,1114.24,1146.60,1110.42,1136.48,2839511
2023-09-21,1136.48,1148.87,1132.47,1140.76,3054796
2023-09-22,1140.76,1154.50,1139.70,1152.88,5606365
2023-09-25,1152.88,1155.13,1151.96,1153.42,5022841
2023-09-26,1153.42,1160.72,1135.19,1137.66,7268165
2023-09-27,1137.66,1150.17,1126.67,1146.89,4857531
2023-09-28,1146.89,1164.80,1142.21,1158.67,6905397
2023-09-29,1158.67,1160.56,1151.91,1156.53,2312068
2023-10-02,1156.53,1162.06,1143.46,1152.58,1546416
2023-10-03,1152.58,1162.52,1141.72,1161.76,5086471
2023-10-04,1161.76,1189.22,1154.95,1183.14,3996073
2023-10-05,1183.14,1183.93,1173.29,1179.63,4606598
2023-10-06,1179.63,1194.40,1168.56,1192.52,7231212
2023-10-09,1192.52,1214.62,1182.71,1203.95,6389917
2023-10-10,1203.95,1206.95,1179.14,1183.52,2677195
2023-10-11,1183.52,1206.00,1178.25,1198.10,7559690
2023-10-12,1198.10,1206.71,1190.58,1193.17,7925688
2023-10-13,1193.17,1218.75,1183.99,1215.85,5790073
2023-10-16,1215.85,1235.35,1204.02,1228.10,4342007
2023-10-17,1228.10,1229.76,1194.69,1205.36,3440162
2023-10-18,1205.36,1207.57,1183.63,1184.92,5438423
