date,open,high,low,close,volume
2023-08-14,397.47,408.84,396.12,405.18,6421563
2023-08-15,405.18,410.64,404.81,408.28,1542301
2023-08-16,408.28,414.92,405.53,411.64,4541202
2023-08-17,411.64,417.62,411.52,413.89,4628200
2023-08-18,413.89,416.71,409.25,409.61,7118435
2023-08-21,409.61,418.16,406.90,414.05,4364481
2023-08-22,414.05,419.08,414.02,415.85,5812148
2023-08-23,415.85,418.00,412.28,416.77,2490472
2023-08-24,416.77,421.18,414.47,420.56,5068902
2023-08-25,420.56,427.31,417.31,424.55,6780926
2023-08-28,424.55,424.92,422.68,423.64,2305166
2023-08-29,423.64,431.43,422.99,428.97,6013248
2023-08-30,428.97,431.68,425.06,425.85,5081093
2023-08-31,425.85,428.48,418.43,421.11,4800035
2023-09-01,421.11,424.36,410.64,413.62,2734005
2023-09-04,413.62,413.66,411.84,413.41,2905258
2023-09-05,413.41,420.69,412.56,419.83,6458657
2023-09-06,419.83,420.14,416.15,416.94,7170880
2023-09-07,416.94,423.42,414.94,419.77,5873009
2023-09-08,419.77,420.75,409.99,412.55,7967508
2023-09-11,412.55,424.15,408.46,420.08,7676544
2023-09-12,420.08,420.93,417.11,420.53,6044522
2023-09-13,420.53,429.47,416.74,426.98,5349324
2023-09-14,426.98,429.24,417.84,420.95,5953881
2023-09-15,420.95,422.28,413.06,416.62,5423238
2023-09-18,416.62,418.54,414.83,418.01,1268902
2023-09-19,418.01,418.32,410.55,412.76,2809637
2023-09-20,412.76,416.77,408.73,411.05,4384511
2023-09-21,411.05,419.92,407.01,418.81,5560425
2023-09-22,418.81,426.61,416.36,422.43,3433735
2023-09-25,422.43,424.25,421.31,422.33,6620287
2023-09-26,422.33,428.64,420.91,428.17,4526921
2023-09-27,428.17,431.30,419.52,421.73,2762470
2023-09-28,421.73,425.41,416.67,418.35,1917998
2023-09-29,418.35,421.42,413.26,414.35,5438856
2023-10-02,414.35,415.34,413.37,414.67,6932740
2023-10-03,414.67,415.27,410.53,414.90,3895471
2023-10-04,414.90,418.50,408.34,410.88,1425324
2023-10-05,410.88,419.45,407.92,415.30,1374557
2023-10-06,415.30,423.55,413.32,421.39,7801692
2023-10-09,421.39,430.07,417.68,426.79,6997691
2023-10-10,426.79,428.89,420.33,421.56,5105308
2023-10-11,421.56,423.77,412.56,416.19,2367425
2023-10-12,416.19,424.39,414.52,421.10,5788911
2023-10-13,421.10,424.18,420.24,421.71,3042629
2023-10-16,421.71,424.36,418.68,419.26,5709590
2023-10-17,419.26,428.61,416.25,426.67,5108932
2023-10-18,426.67,429.62,423.52,427.69,7246609
2023-10-19,427.69,429.78,419.06,423.21,7624424
2023-10-20,423.21,428.50,421.51,424.38,5716228
2023-10-23,424.38,424.54,413.49,417.00,3176520
2023-10-24,417.00,419.18,415.24,417.91,2061658
2023-10-25,417.91,429.02,414.34,425.43,1001147
2023-10-26,425.43,427.08,420.94,422.39,1073041
2023-10-27,422.39,426.27,418.91,425.19,3728788
2023-10-30,425.19,433.99,422.53,430.55,3027542
2023-10-31,430.55,430.59,427.51,428.61,2829728
2023-11-01,428.61,429.56,425.68,427.71,6780367
2023-11-02,427.71,437.45,424.32,435.01,6010950
2023-11-03,435.01,441.19,432.79,439.87,1185312
2023-11-06,439.87,447.80,436.04,444.83,3289871
2023-11-07,444.83,449.18,441.14,443.47,2221156
2023-11-08,443.47,445.60,438.55,440.05,2842867
2023-11-09,440.05,446.68,439.47,442.61,2289311
