date,open,high,low,close,volume
2023-08-14,571.92,581.22,570.02,576.10,4909503
2023-08-15,576.10,581.26,573.71,579.87,2333585
2023-08-16,579.87,587.15,577.44,583.46,1716206
2023-08-17,583.46,595.37,582.61,593.23,6190453
2023-08-18,593.23,594.53,589.44,593.63,4517088
2023-08-21,593.63,598.92,584.62,585.78,6525961
2023-08-22,585.78,587.46,580.52,585.28,1784400
2023-08-23,585.28,594.80,584.77,594.51,5354167
2023-08-24,594.51,598.85,592.18,598.23,7410528
2023-08-25,598.23,606.27,592.38,605.96,1428310
2023-08-28,605.96,607.55,598.99,601.53,3977661
2023-08-29,601.53,612.54,597.02,607.49,6018007
2023-08-30,607.49,611.79,606.82,608.59,1155953
2023-08-31,608.59,611.07,595.83,600.47,5313216
2023-09-01,600.47,617.20,595.11,612.24,4046156
2023-09-04,612.24,622.12,611.55,619.64,1702097
2023-09-05,619.64,621.31,611.29,616.61,2238295
2023-09-06,616.61,630.50,611.09,627.62,7089283
2023-09-07,627.62,631.62,625.76,631.32,4715619
2023-09-08,631.32,644.56,629.84,640.36,1041481
2023-09-11,640.36,644.61,628.70,629.23,2900144
2023-09-12,629.23,635.42,624.14,628.00,1968837
2023-09-13,628.00,641.79,625.76,639.65,5507729
2023-09-14,639.65,644.07,631.93,632.07,3752914
2023-09-15,632.07,637.27,623.61,628.45,1723253
2023-09-18,628.45,634.61,616.11,617.75,3218042
2023-09-19,617.75,619.33,607.86,612.14,2061658
2023-09-20,612.14,619.94,610.29,619.91,1336237
2023-09-21,619.91,625.32,617.42,622.76,4672060
2023-09-22,622.76,627.36,617.28,620.15,5209521
2023-09-25,620.15,621.65,611.12,613.53,2303113
2023-09-26,613.53,617.68,602.80,607.98,3036806
2023-09-27,607.98,609.86,604.18,607.84,2625889
2023-09-28,607.84,621.63,604.40,619.86,6203015
2023-09-29,619.86,635.65,613.89,631.10,4184332
2023-10-02,631.10,640.62,629.64,637.33,3007242
2023-10-03,637.33,641.47,621.43,625.98,5358027
2023-10-04,625.98,635.60,622.37,629.95,3265122
2023-10-05,629.95,642.72,627.56,639.36,7090552
2023-10-06,639.36,650.60,636.31,644.57,5310431
2023-10-09,644.57,656.87,640.35,655.43,4670499
2023-10-10,655.43,655.88,645.32,646.91,2670424
2023-10-11,646.91,658.79,640.55,654.57,7043353
2023-10-12,654.57,655.04,652.53,652.65,6590020
2023-10-13,652.65,653.63,643.82,649.13,6240389
2023-10-16,649.13,656.90,646.28,656.11,5109643
2023-10-17,656.11,667.46,652.03,665.67,6869953
2023-10-18,665.67,681.82,664.58,675.97,2033259
2023-10-19,675.97,695.11,671.73,689.14,3685667
2023-10-20,689.14,705.65,688.60,702.41,1895855
2023-10-23,702.41,719.27,696.42,716.25,1908292
2023-10-24,716.25,722.51,711.12,721.46,1849398
2023-10-25,721.46,723.78,716.36,722.44,3400643
2023-10-26,722.44,725.40,717.97,725.31,1297475
2023-10-27,725.31,726.36,711.33,717.87,5160399
2023-10-30,717.87,723.87,713.16,720.58,7472470
2023-10-31,720.58,731.73,715.92,729.49,3021169
2023-11-01,729.49,733.44,718.67,718.80,3056241
2023-11-02,718.80,725.64,710.81,711.80,4155054
2023-11-03,711.80,715.79,696.64,698.47,6361670
2023-11-06,698.47,701.11,695.51,695.73,1385221
2023-11-07,695.73,697.78,685.08,688.96,6414525
2023-11-08,688.96,702.25,684.34,695.97,4625924
2023-11-09,695.97,698.44,676.30,682.45,2322656
2023-11-10,682.45,683.35,666.01,669.38,5947148
2023-11-13,669.38,673.40,660.39,665.96,4536945
2023-11-14,665.96,671.87,651.12,653.27,4918415
2023-11-15,653.27,666.22,652.12,660.51,5831714
2023-11-16,660.51,664.48,657.55,663.31,5402216
2023-11-17,663.31,678.15,661.72,673.29,2463973
2023-11-20,673.29,678.70,672.19,672.53,2070902
2023-11-21,672.53,673.46,669.55,671.30,5767939
2023-11-22,671.30,684.50,668.82,684.10,3431426
2023-11-23,684.10,685.57,679.31,681.74,7662086
2023-11-24,681.74,682.11,669.57,671.10,1318084
2023-11-27,671.10,674.43,662.47,662.76,7335482
2023-11-28,662.76,671.35,658.47,671.00,3218393
2023-11-29,671.00,671.66,665.74,667.26,4434558
2023-11-30,667.26,669.27,662.13,669.25,1193024
2023-12-01,669.25,670.15,655.56,656.03,2877429
2023-12-04,656.03,661.84,655.31,657.98,1635641
2023-12-05,657.98,662.20,647.17,648.24,6084990
2023-12-06,648.24,651.34,640.73,642.12,2928856
2023-12-07,642.12,651.88,638.26,647.68,1527331
2023-12-08,647.68,665.04,645.55,659.21,7980075
2023-12-11,659.21,673.85,653.90,667.87,3883526
2023-12-12,667.87,671.07,665.22,666.79,5877692
2023-12-13,666.79,674.23,665.01,669.90,5495348
2023-12-14,669.90,673.32,663.43,667.43,5426243
2023-12-15,667.43,679.14,667.06,677.17,5620323
2023-12-18,677.17,692.19,673.94,686.82,2170071
2023-12-19,686.82,689.94,670.65,674.28,6090308
2023-12-20,674.28,680.89,671.86,674.30,4421053
2023-12-21,674.30,685.75,671.83,684.60,6215114
2023-12-22,684.60,688.80,675.60,676.28,6277387
2023-12-25,676.28,676.62,668.87,670.08,6478097
2023-12-26,670.08,670.63,661.55,664.30,3414727
2023-12-27,664.30,669.62,661.43,667.82,7248997
2023-12-28,667.82,676.34,662.41,670.68,5217325
2023-12-29,670.68,680.86,668.05,674.15,6784761
2024-01-01,674.15,687.08,668.00,683.42,7324676
2024-01-02,683.42,694.24,679.76,693.20,6098428
2024-01-03,693.20,695.88,683.31,684.05,1371776
2024-01-04,684.05,690.88,666.67,673.17,7195838
2024-01-05,673.17,679.43,668.87,677.57,2824033
2024-01-08,677.57,681.42,664.03,669.26,2015627
2024-01-09,669.26,681.65,666.50,676.84,1622036
2024-01-10,676.84,680.45,676.33,678.01,3795747
2024-01-11,678.01,688.13,671.41,686.94,5164908
2024-01-12,686.94,693.67,677.99,680.29,1733556
2024-01-15,680.29,692.40,680.16,686.45,7048231
2024-01-16,686.45,691.71,682.73,684.44,4545761
2024-01-17,684.44,695.42,678.51,693.31,1840569
2024-01-18,693.31,705.37,688.79,702.40,6911004
2024-01-19,702.40,704.31,685.57,690.22,2047277
2024-01-22,690.22,702.90,683.62,702.10,6288482
2024-01-23,702.10,704.95,694.48,699.30,2763776
2024-01-24,699.30,701.80,698.00,701.17,5457916
2024-01-25,701.17,702.45,686.31,690.95,1925206
2024-01-26,690.95,694.33,682.36,687.79,1028654
2024-01-29,687.79,691.09,671.14,674.50,6937874
2024-01-30,674.50,685.71,673.62,684.19,4272655
2024-01-31,684.19,691.30,682.32,690.50,5874238
2024-02-01,690.50,696.50,676.23,676.98,7441865
2024-02-02,676.98,683.94,672.06,678.63,4027372
2024-02-05,678.63,695.29,677.10,689.56,5432103
2024-02-06,689.56,698.84,689.17,697.82,4018908
2024-02-07,697.82,707.54,695.72,700.70,5752281
2024-02-08,700.70,703.93,698.03,702.52,1946425
2024-02-09,702.52,715.18,699.89,710.78,6389353
2024-02-12,710.78,714.45,705.42,706.85,2542356
2024-02-13,706.85,711.14,703.79,707.56,2086671
2024-02-14,707.56,715.86,705.55,709.33,2582861
2024-02-15,709.33,714.90,698.71,701.87,4906790
2024-02-16,701.87,707.24,697.40,703.93,6959963
2024-02-19,703.93,718.35,703.41,713.76,4059583
2024-02-20,713.76,716.78,704.42,710.82,3681463
2024-02-21,710.82,718.97,704.35,712.18,3307283
2024-02-22,712.18,720.86,706.41,716.95,5116811
2024-02-23,716.95,722.22,710.91,717.91,6478224
2024-02-26,717.91,722.86,711.62,717.50,5449184
2024-02-27,717.50,724.06,704.97,710.42,1584925
2024-02-28,710.42,729.18,707.67,722.23,3570649
2024-02-29,722.23,738.13,715.06,734.23,5781884
2024-03-01,734.23,751.27,733.56,745.08,6114661
2024-03-04,745.08,749.94,734.47,738.18,7598877
2024-03-05,738.18,747.62,733.63,741.26,5994439
2024-03-06,741.26,758.84,740.92,752.54,1021163
2024-03-07,752.54,755.24,746.83,750.22,7308648
2024-03-08,750.22,752.84,746.68,749.86,3479960
2024-03-11,749.86,754.99,743.48,744.18,4161328
2024-03-12,744.18,744.53,734.21,734.51,1273421
2024-03-13,734.51,739.50,730.32,735.80,1612658
2024-03-14,735.80,740.71,733.96,735.76,6874464
2024-03-15,735.76,741.40,731.60,741.00,3649659
2024-03-18,741.00,752.32,736.86,747.16,5526461
2024-03-19,747.16,755.73,743.79,752.78,6410711
2024-03-20,752.78,775.39,746.01,767.77,6368691
2024-03-21,767.77,768.04,759.47,763.25,6609989
2024-03-22,763.25,770.97,755.97,769.81,6966710
2024-03-25,769.81,774.95,754.15,760.44,3866170
2024-03-26,760.44,765.65,745.09,746.52,1043507
2024-03-27,746.52,756.29,744.23,751.56,4524891
2024-03-28,751.56,759.94,746.64,754.13,3154667
2024-03-29,754.13,759.38,742.38,745.43,3371982
2024-04-01,745.43,751.87,743.32,743.41,1070219
2024-04-02,743.41,748.04,741.06,747.23,3244533
2024-04-03,747.23,760.00,744.25,756.02,7090596
2024-04-04,756.02,757.07,745.67,750.25,6543862
2024-04-05,750.25,766.13,747.05,759.87,1033121
2024-04-08,759.87,762.87,746.53,747.90,7711372
2024-04-09,747.90,755.03,745.37,749.94,7874181
2024-04-10,749.94,750.19,745.39,749.79,3638584
2024-04-11,749.79,752.59,741.31,744.58,4811125
2024-04-12,744.58,745.95,731.41,734.56,5565501
2024-04-15,734.56,740.31,729.94,732.28,4256051
2024-04-16,732.28,740.60,726.36,735.16,7463240
2024-04-17,735.16,742.43,733.29,735.53,6974336
2024-04-18,735.53,742.84,735.42,735.57,3388717
2024-04-19,735.57,736.25,729.26,734.97,5043019
2024-04-22,734.97,737.49,721.49,721.53,1670045
2024-04-23,721.53,723.21,709.58,716.13,7392773
2024-04-24,716.13,723.02,706.03,706.90,3105021
2024-04-25,706.90,713.31,693.44,695.36,6249192
2024-04-26,695.36,703.71,690.28,702.47,6646221
2024-04-29,702.47,715.57,698.03,714.10,4293060
2024-04-30,714.10,717.73,704.06,710.05,1660395
2024-05-01,710.05,713.13,708.84,710.58,1331581
2024-05-02,710.58,715.63,696.43,702.19,3747964
2024-05-03,702.19,706.08,695.40,698.26,3678720
2024-05-06,698.26,701.26,688.44,693.90,2289271
2024-05-07,693.90,700.80,688.69,695.28,4760153
2024-05-08,695.28,698.20,681.18,686.10,2020181
2024-05-09,686.10,693.09,685.12,690.01,6275777
2024-05-10,690.01,690.33,670.68,677.02,1483881
2024-05-13,677.02,686.13,670.94,683.33,7952506
2024-05-14,683.33,685.65,677.11,681.51,3277347
2024-05-15,681.51,682.28,673.14,677.27,7199001
2024-05-16,677.27,692.33,674.97,690.44,5610461
2024-05-17,690.44,697.01,686.33,687.86,7773610
2024-05-20,687.86,696.05,686.25,694.87,7086091
2024-05-21,694.87,698.81,677.26,683.90,2521806
2024-05-22,683.90,687.08,675.24,677.73,2144787
2024-05-23,677.73,683.46,671.68,679.99,3589349
2024-05-24,679.99,688.04,679.71,683.39,4684282
2024-05-27,683.39,693.28,682.04,692.49,3794651
2024-05-28,692.49,693.00,681.35,682.43,4913772
